linkID,link,type
43000,isRelatedTo,hasChild
43001,isRelatedTo,hasParent
43002,isRelatedTo,hasSibling
43003,isRelatedTo,reportsTo
43004,isRelatedTo,worksWith
43005,isRelatedTo,knows
43006,isRelatedTo,isVersionOf
43007,isRelatedTo,isVariantOf
43008,isRelatedTo,hasPeer
43009,isRelatedTo,hasColleague
43010,isRelatedTo,hasProgram
43011,isRelatedTo,synonymOf
43012,isRelatedTo,isParentOf
41000,hasAddress,mailing
41001,hasAddress,alternative_mailing
41002,hasAddress,shipping
41003,hasAddress,alternative_shipping
41004,hasAddress,other
41005,hasPlace,home
41006,hasPlace,work
42000,hasContactService,home
42001,hasContactService,office
42002,hasContactService,mobile
42003,hasContactService,other_1
42004,hasContactService,other_2
42005,hasMessage,sender
42006,hasMessage,recipient
42007,hasMessage,CC-recipient
42008,hasMessage,BCC-recipient
42009,hasMessage,forward-recipient
42010,hasMessage,blind-forward-recipient
42011,hasRequest,madeRequest
42012,hasRequest,receivedRequest
42013,hasMedia,thumbnail
