what,name,code,typeName,typeCode,comment
resourceType,activity,11214,Blog,40004,"why not as 1,2,3 inside Resource as 1,2,3,,?"
resourceType,activity,11214,Project,40005,activity types from email  2018-04-17
resourceType,activity,11214,Program,40006,
resourceType,activity,11214,Bookmarks,40007,
resourceType,activity,11214,Portfolio,40008,
resourceType,activity,11214,Writing,40009,
resourceType,activity,11214,Media,40010,
resourceType,activity,11214,Campaign,40011,
resourceType,activity,11214,News,40012,
resourceType,citation,11218,DC,411100,not recognized
resourceType,citation,11219,DCE,411129,not recognized
resourceType,citation,11220,21-Mar,411101,mistake
resourceType,citation,11221,img,411128,not recognized
resourceType,contactService,11224,email,420000,insufficient
resourceType,contactService,11225,phone,420010,insufficient
resourceType,event,11213,workshop,411125,numeric code jammed should be 41200 or something.
resourceType,event,11214,lesson_plan,411126,text or variable?
resourceType,event,11215,online_activity,411127,text or variable?
resourceType,idea,11233,tag,31210,(!) Idea
resourceType,idea,11233,thesaurus,31211,
resourceType,idea,11233,ontology,31212,(!) Ideas is ontology
resourceType,idea,11233,mind_map,31213,? 
resourceType,idea,11233,causal_flow_diagram,31214,text or variable?
resourceType,idea,11233,learning_standard,31215,text or variable?
resourceType,idea,11233,learning_progression,31216,text or variable?
resourceType,idea,11233,taxonomy,67000,
resourceType,idea,11233,life_history,67001,text or variable?
resourceType,idea,11233,research,67002,
resourceType,idea,11233,management,67003,same as administration
resourceType,idea,11233,administration,67004,
resourceType,idea,11233,geography,67005,Place
resourceType,idea,11233,ecology,67006,
resourceType,idea,11233,biology,67007,
resourceType,idea,11233,other,67008,delete?
resourceType,idea,11233,structure,67009,ecosystem structure
resourceType,idea,11233,function,67010,ecosystem function
resourceType,idea,11233,IYS_Theme,67011,
resourceType,idea,11233,placey,67012,not recognized
resourceType,media,11219,application,400100,
resourceType,media,11220,audio,400101,
resourceType,media,11221,example,400102,
resourceType,media,11222,font,400103,
resourceType,media,11223,image,400104,
resourceType,media,11224,message,400105,Item? Is Message a Resource?
resourceType,media,11225,model,400106,Resource
resourceType,media,11226,multipart,400107,
resourceType,media,11227,text,400108,Document?
resourceType,media,11228,video,400109,
resourceType,organization,11211,federal_government,411118,text or variable?
resourceType,organization,11212,federal_ministry,411119,text or variable?
resourceType,organization,11213,private_research_institute,411120,text or variable?
resourceType,organization,11214,federal_research,411121,text or variable?
resourceType,organization,11215,federal_research_and_management,411122,text or variable?
resourceType,organization,11216,university,411123,
resourceType,organization,11217,network,411124,
resourceType,place,11215,country,411102,
resourceType,place,11216,region,411103,
